タイムスタンプ,ニックネーム（匿名可）,問題名,理由
2026/04/17 10:00:54,blue_jam,"AHC062 - King's Tour - N×Nのグリッドで、各マスに住人の数A_{i,j}がいる。0日からN^2-1日目までに全てのマスを一度ずつ訪問するツアーを計画する。連続する日の訪問マスは隣接していなければならない。k日目に訪れるマスから得られる好感度はk*A_{i,j}で、総和を最大化したい。",初めて50位以内に入れたコンテストなので！
2026/04/18 10:35:42,prd_xxx,AHC011 - Sliding Tree Puzzle - N×N盤面で、タイルをスライドさせて木構造を形成するパズル。最大T回操作で、タイル間の接続でできる木を最大化する。T回以内でN^2-1の木を完成させることが保証されている。,がんばった問題なので
2026/04/18 10:36:48,bird01,AHC056 - Grid Turing Robot - ロボットを使い、指定された順に目的地を巡る問題。ロボットは内部状態と現在位置の色に基づき、色変更、状態更新、移動を同時に行う。開発コスト（色数＋状態数）を最小化し、時間内に全目的地を巡る遷移規則と初期盤面色を設定する。,スケートの発想が印象的でした！
2026/04/18 10:49:20,ponyopoppo,AHC063 - Colorful Ouroboros - 蛇に餌を与えて色を変え、最終的な色並びを好みに近づける問題。蛇は移動し、餌を食べると長くなり色が増える。胴体を噛みちぎることも可能。操作回数を最小にし、好みの色並びとの誤差、蛇の長さ不足を減らすことが目標。,一番最近だから
2026/04/18 11:15:41,kaede2020,"AHC001 - AtCoder Ad - 10000x10000の領域に、各企業が希望する面積を含むように、重ならない長方形広告を配置する。配置は満足度総和を最大化するよう決定する。点(x_i+0.5, y_i+0.5)を含む広告の面積s_iと希望面積r_iの比率で満足度が決まる。",私がAHCにはまったのはこの1問があったからです。
2026/04/18 11:23:53,,AHC048 - Mixing on the Palette - 画家が求める色を、与えられたチューブ絵の具とパレットを使い、コストを最小限に抑えつつ順番通りに調合する問題。パレットのマスをウェルに分け、仕切り操作でウェルを結合・分割しながら、チューブ絵の具を加えて目標色を生成し、画伯に渡す。H回、目標通りの色を1グラムずつ提供する必要がある。,最初に問題見た時に考えていたスコアよりもはるかに高い精度で絵の具を作れて楽しかった
2026/04/18 11:25:18,,AHC033 - Container Handling with Cranes - N×Nのコンテナターミナルで、指定された順番でコンテナを搬出する問題。 1台の大クレーンとN-1台の小クレーンを操作し、コンテナを掴む・離す・移動させる。 クレーンはコンテナを掴んでいると小クレーンは他のコンテナのマスに移動できない。 搬入口からコンテナが供給され、右端の搬出口から指定の番号順に搬出する。 搬出順の乱れや誤搬出を減らし、総ターン数も少なくすることが目標。,並列に動かすのを考えるのが難しくて、手でコーディングするのがめっちゃ大変だったから
2026/04/18 18:27:16,,"AHC042 - Oni wa Soto, Fuku wa Uchi - NxNの盤面で、鬼を全て取り除き、福を一つも失わずに高得点を目指す。行/列を1マス動かす操作を最大4N^2回まで行える。鬼の初期配置は、福のない方向へ移動させれば福を失わずに除去できる保証がある。この保証を利用し、各鬼を福を失わずに除去する操作を適用する。","節分のテーマに沿った設定で楽しかった。ビジュアライズも面白かった。解法に個性が出た
。"
2026/04/18 18:33:10,きゅうり,"AHC001 - AtCoder Ad - 10000x10000の領域に、各企業が希望する面積を含むように、重ならない長方形広告を配置する。配置は満足度総和を最大化するよう決定する。点(x_i+0.5, y_i+0.5)を含む広告の面積s_iと希望面積r_iの比率で満足度が決まる。",
2026/04/18 18:42:58,Recuraki,AHC012 - AtCoder 10th Anniversary - 円形のケーキにN個のイチゴがあり、K回の直線カットでケーキを分割し、d個のイチゴを持つピースをd年歴の出席者に配る。目的は、カット回数上限内で、配れるピースの合計数を最大化すること。,
2026/04/18 18:43:20,,AHC033 - Container Handling with Cranes - N×Nのコンテナターミナルで、指定された順番でコンテナを搬出する問題。 1台の大クレーンとN-1台の小クレーンを操作し、コンテナを掴む・離す・移動させる。 クレーンはコンテナを掴んでいると小クレーンは他のコンテナのマスに移動できない。 搬入口からコンテナが供給され、右端の搬出口から指定の番号順に搬出する。 搬出順の乱れや誤搬出を減らし、総ターン数も少なくすることが目標。,
2026/04/18 18:50:06,wata,AHC016 - Graphorean - 与えられたM個のグラフからノイズ混じりで頂点順序がシャッフルされたグラフHが与えられたとき、元のグラフを特定する問題。M個のグラフを事前に作成し、ノイズ後のHから元のグラフを予測することで得点を稼ぐ。グラフのサイズを小さくし、予測精度を高めることが重要。,新しい設定&理論的な考察が役立つ
2026/04/18 19:25:45,sky,"AHC030 - Polyomino Mining - N×Nの島に隠されたM個のポリオミノ型油田の位置を特定する問題。1マス掘る(コスト1)か、複数マスを占う(コスト1/√k)ことで情報を得る。ノイズのある情報から、埋蔵量v(i,j)>0のマスを特定し、総コストを最小化することが目標。",占いが有効だと思わなかった。確率で二重でブレるのに、その結果が有効活用できるのが不思議だった
2026/04/18 19:32:57,,"AHC037 - Soda - 指定された甘さと炭酸強度の飲料を効率的に作る問題。初期状態(0,0)から、既存の飲料にシロップと炭酸を加えて新しい飲料を最大5N回まで作れる。コストは追加した量。指定飲料を全て作成し、総コストを最小化する手順を出力する。",2位だったから
2026/04/18 19:36:57,,AHC017 - Road Repair - 平面グラフの道路網で、1日あたり最大K本まで同時に工事可能、総日数D日以内で全道路の工事を完了させる。工事中の道路は通行止めとなり、移動距離が増加する。この移動距離増加の期待値を各日最小化し、全体で総不満度を最小にする工事計画を立てる。,
2026/04/18 19:47:26,MM,AHC057 - Molecules - この問題は、トーラス構造の2次元平面上で、N個の点が移動する間に、合計でM個の連結成分を、各成分のサイズをちょうどKに保ちつつ、結合コストの合計を最小化する問題です。各時間ステップで、異なる連結成分に属する2点間を結合し、速度を保存則に従って更新します。最終的に、指定された連結成分数とサイズになるように結合計画を立てます。,
2026/04/18 20:12:12,siman,AHC008 - Territory - 30x30の部屋で、人間は通路を封鎖してペットの侵入を防ぎ、自身の活動範囲を最大化することを目指す。300ターンで、人間は移動または隣接マスを封鎖し、ペットは種類ごとに異なるルールで移動する。最終的に、人間が到達可能な範囲と、そこにいるペットの数に応じてスコアが決まる。,今まで参加した中でビームサーチも焼きなましも有効になりにくい開放だったから
2026/04/18 20:28:46,ky0r0suke,AHC022 - Exploring Another Space - グリッド上のワームホールと出口セルの対応不明瞭な問題を、温度設定と計測により解明する。配置コストと計測コストを最小化し、正確な対応を推定することが目標。低コストで高精度な対応推定を目指す。,
2026/04/18 20:30:41,yupiteru,AHC008 - Territory - 30x30の部屋で、人間は通路を封鎖してペットの侵入を防ぎ、自身の活動範囲を最大化することを目指す。300ターンで、人間は移動または隣接マスを封鎖し、ペットは種類ごとに異なるルールで移動する。最終的に、人間が到達可能な範囲と、そこにいるペットの数に応じてスコアが決まる。,良い順位が取れたため
2026/04/18 20:31:05,,AHC020 - Broadcasting - この問題は、全住民に生放送を届けるため、放送局間の通信ケーブルを接続し、各放送局の電波出力強度を調整して、総コストを最小化するネットワークを構築する問題です。ケーブルの接続コストと出力強度によるコストを考慮し、住民全員が視聴可能になるようにします。,
2026/04/18 20:47:45,reg7777,"AHC001 - AtCoder Ad - 10000x10000の領域に、各企業が希望する面積を含むように、重ならない長方形広告を配置する。配置は満足度総和を最大化するよう決定する。点(x_i+0.5, y_i+0.5)を含む広告の面積s_iと希望面積r_iの比率で満足度が決まる。",一番最初のAHCで懐かしさを感じました
2026/04/18 21:03:07,,AHC008 - Territory - 30x30の部屋で、人間は通路を封鎖してペットの侵入を防ぎ、自身の活動範囲を最大化することを目指す。300ターンで、人間は移動または隣接マスを封鎖し、ペットは種類ごとに異なるルールで移動する。最終的に、人間が到達可能な範囲と、そこにいるペットの数に応じてスコアが決まる。,ビジュアライザ共有が盛り上がった
2026/04/18 21:25:28,fmhr,"AHC030 - Polyomino Mining - N×Nの島に隠されたM個のポリオミノ型油田の位置を特定する問題。1マス掘る(コスト1)か、複数マスを占う(コスト1/√k)ことで情報を得る。ノイズのある情報から、埋蔵量v(i,j)>0のマスを特定し、総コストを最小化することが目標。",推定問題に向き合った一問　いつかリベンジさせて欲しい！
2026/04/18 21:43:59,plcherrim,AHC020 - Broadcasting - この問題は、全住民に生放送を届けるため、放送局間の通信ケーブルを接続し、各放送局の電波出力強度を調整して、総コストを最小化するネットワークを構築する問題です。ケーブルの接続コストと出力強度によるコストを考慮し、住民全員が視聴可能になるようにします。,AA社入社のきっかけになったので…！笑
2026/04/18 21:45:09,G4NP0N,AHC016 - Graphorean - 与えられたM個のグラフからノイズ混じりで頂点順序がシャッフルされたグラフHが与えられたとき、元のグラフを特定する問題。M個のグラフを事前に作成し、ノイズ後のHから元のグラフを予測することで得点を稼ぐ。グラフのサイズを小さくし、予測精度を高めることが重要。,ストーリーと問題設定の噛み合い方が最高
2026/04/18 21:46:39,terry_u16,AHC016 - Graphorean - 与えられたM個のグラフからノイズ混じりで頂点順序がシャッフルされたグラフHが与えられたとき、元のグラフを特定する問題。M個のグラフを事前に作成し、ノイズ後のHから元のグラフを予測することで得点を稼ぐ。グラフのサイズを小さくし、予測精度を高めることが重要。,解法が非自明で、なおかつNNの活用余地もあって何でもあり感が好きです。
2026/04/18 21:53:03,yochan,AHC054 - Treant's Forest - 迷いの森で伝説の花を探す冒険者を、木の魔物トレントのボスとして惑わし、花にたどり着くまでを最長にするゲーム。トレントは冒険者の進路を塞ぐように配置し、冒険者を迷わせる。ただし、森の入口から花までの空きマス経路は常に確保する必要がある。,焼けるにも関わらず評価関数が非自明(推定問題だが期待値を求めるわけではなく、それっぽい評価値を考える必要がある)で、初期解の構築も発想力が試される(ジグザグだが分岐を適切に追加する必要がある)から。
2026/04/18 22:26:15,,AHC008 - Territory - 30x30の部屋で、人間は通路を封鎖してペットの侵入を防ぎ、自身の活動範囲を最大化することを目指す。300ターンで、人間は移動または隣接マスを封鎖し、ペットは種類ごとに異なるルールで移動する。最終的に、人間が到達可能な範囲と、そこにいるペットの数に応じてスコアが決まる。,むずかしかった！
2026/04/18 23:18:24,,AHC033 - Container Handling with Cranes - N×Nのコンテナターミナルで、指定された順番でコンテナを搬出する問題。 1台の大クレーンとN-1台の小クレーンを操作し、コンテナを掴む・離す・移動させる。 クレーンはコンテナを掴んでいると小クレーンは他のコンテナのマスに移動できない。 搬入口からコンテナが供給され、右端の搬出口から指定の番号順に搬出する。 搬出順の乱れや誤搬出を減らし、総ターン数も少なくすることが目標。,人力で解いたときの動きを再現することに成功して上位に入れたのが嬉しかった
2026/04/19 0:38:19,,AHC016 - Graphorean - 与えられたM個のグラフからノイズ混じりで頂点順序がシャッフルされたグラフHが与えられたとき、元のグラフを特定する問題。M個のグラフを事前に作成し、ノイズ後のHから元のグラフを予測することで得点を稼ぐ。グラフのサイズを小さくし、予測精度を高めることが重要。,
2026/04/19 0:38:40,,AHC063 - Colorful Ouroboros - 蛇に餌を与えて色を変え、最終的な色並びを好みに近づける問題。蛇は移動し、餌を食べると長くなり色が増える。胴体を噛みちぎることも可能。操作回数を最小にし、好みの色並びとの誤差、蛇の長さ不足を減らすことが目標。,
2026/04/19 1:23:46,ぱらぼろ,AHC033 - Container Handling with Cranes - N×Nのコンテナターミナルで、指定された順番でコンテナを搬出する問題。 1台の大クレーンとN-1台の小クレーンを操作し、コンテナを掴む・離す・移動させる。 クレーンはコンテナを掴んでいると小クレーンは他のコンテナのマスに移動できない。 搬入口からコンテナが供給され、右端の搬出口から指定の番号順に搬出する。 搬出順の乱れや誤搬出を減らし、総ターン数も少なくすることが目標。,時間軸も考慮した盤面上の経路探索が目新しかった。上位解法はビームサーチだったが、マルチエージェント経路探索の簡単な実装を試せた。
2026/04/19 2:19:44,,AHC022 - Exploring Another Space - グリッド上のワームホールと出口セルの対応不明瞭な問題を、温度設定と計測により解明する。配置コストと計測コストを最小化し、正確な対応を推定することが目標。低コストで高精度な対応推定を目指す。,
2026/04/19 2:21:46,,AHC054 - Treant's Forest - 迷いの森で伝説の花を探す冒険者を、木の魔物トレントのボスとして惑わし、花にたどり着くまでを最長にするゲーム。トレントは冒険者の進路を塞ぐように配置し、冒険者を迷わせる。ただし、森の入口から花までの空きマス経路は常に確保する必要がある。,
2026/04/19 13:58:04,hotpepsi,AHC052 - Single Controller Multiple Robots - M台のロボットでN×Nのオフィス床全体にワックスがけを行う。1つのコントローラーにはK個のボタンがあり、各ボタンにロボット毎の行動（移動or待機）を設定できる。ボタンを押すと全ロボットが同時に移動。最大2N^2回操作で、未ワックスマスを最小化するのが目的。（140字）,シンプルで思った通りに実装できて結果も良かった
2026/04/19 21:38:15,takytank,AHC008 - Territory - 30x30の部屋で、人間は通路を封鎖してペットの侵入を防ぎ、自身の活動範囲を最大化することを目指す。300ターンで、人間は移動または隣接マスを封鎖し、ペットは種類ごとに異なるルールで移動する。最終的に、人間が到達可能な範囲と、そこにいるペットの数に応じてスコアが決まる。,他の問題と比較してかなり異色だと思う。時間も結構かけて取り組んだので、思い出深い。
2026/04/20 20:59:11,,AHC056 - Grid Turing Robot - ロボットを使い、指定された順に目的地を巡る問題。ロボットは内部状態と現在位置の色に基づき、色変更、状態更新、移動を同時に行う。開発コスト（色数＋状態数）を最小化し、時間内に全目的地を巡る遷移規則と初期盤面色を設定する。,
